cluster,n,entropy_mean,entropy_sd,entropy_median,turbulence_mean,turbulence_sd,turbulence_median,trans_mean,trans_sd,trans_median
type 1,925,0.187009119837229,0.0857119436348212,0.162488237864537,2.77999591521907,0.684850899863722,2.96384033670458,1.5372972972973,0.592122935385521,1
type 2,91,0.480584324694708,0.136351851318049,0.512524277171969,5.3381906197585,1.54489567093679,5.27547917220044,2.24175824175824,1.00377796726677,2
type 3,238,0.389458110269459,0.081745097510016,0.381116455864281,4.18947018461395,0.709064553268907,4.1457880955608,2.37394957983193,0.692693901610904,2
type 4,122,0.0669759280135593,0.114365795461488,0,1.69755605142073,1.32798449176014,1,0.385245901639344,0.566950976811075,0
