cluster,n,entropy_mean,entropy_sd,entropy_median,turbulence_mean,turbulence_sd,turbulence_median,trans_mean,trans_sd,trans_median
type 1,514,0.313738821407261,0.0834840425852485,0.298009650268171,3.68522445492559,0.63111257929045,3.5032381032867,2.1420233463035,0.593388353648193,2
type 2,617,0.142231633244959,0.0479483494090013,0.136698050715568,2.44419697034847,0.462766421490606,2.21266088331867,1.29821717990276,0.485383833417773,1
type 3,123,0.490967217278984,0.121294168768802,0.507765968533758,5.30154936078881,1.36289293321474,5.19627958101732,2.34959349593496,0.949406543172968,2
type 4,122,0.0669759280135593,0.114365795461488,0,1.69755605142073,1.32798449176014,1,0.385245901639344,0.566950976811075,0
